1,"Legislative and senior managers"
2,"Middle management occupations"
3,"Professional occupations in business and finance"
4,"Administrative and financial supervisors and specialized administrative occupations"
5,"Administrative occupations and transportation logistics occupations"
6,"Administrative and financial support and supply chain logistics occupations"
7,"Professional occupations in natural and applied sciences"
8,"Technical occupations related to natural and applied sciences"
9,"Professional occupations in health"
10,"Technical occupations in health"
11,"Assisting occupations in support of health services"
12,"Professional occupations in law, education, social, community and government services"
13,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services"
14,"Assisting occupations, care providers, student monitors, crossing guards and related occupations in education and in legal and public protection"
15,"Professional and technical occupations in art, culture and sport"
16,"Other occupations in art, culture and sport"
17,"Retail sales and service supervisors and specialized occupations in sales and services"
18,"Occupations in sales and services"
19,"Sales and service representatives and other customer and personal services occupations"
20,"Sales and service support occupations"
21,"Technical trades and transportation officers and controllers"
22,"General trades"
23,"Mail and message distribution, other transport equipment operators and related maintenance workers"
24,"Helpers and labourers and other transport drivers, operators and labourers"
25,"Occupations in natural resources, agriculture and related production"
26,"Occupations in processing, manufacturing and utilities"
88,"Not available"
99,"Not applicable"